_1980_census,_1990_census,_2000_census,_2010_census,county,percent_change_1980_to_1990,percent_change_1990_to_2000,percent_change_2000_to_2010
11426518,11430602,12419293,12830632,Illinois,0.04,8.6,3.3
71622,66090,68277,67103,Adams,-7.7,3.3,-1.7
12264,10626,9590,8238,Alexander,-13.4,-9.7,-14.1
16224,14991,17633,17768,Bond,-7.6,17.6,0.8
28630,30806,41786,54165,Boone,7.6,35.6,29.6
5411,5836,6950,6937,Brown,7.9,19.1,-0.2
39114,35688,35503,34978,Bureau,-8.8,-0.5,-1.5
5867,5322,5084,5089,Calhoun,-9.3,-4.5,0.1
18779,16805,16674,15387,Carroll,-10.5,-0.8,-7.7
15084,13437,13695,13642,Cass,-10.9,1.9,-0.4
168392,173025,179669,201081,Champaign,2.8,3.8,11.9
36446,34418,35372,34800,Christian,-5.6,2.8,-1.6
16913,15921,17008,16335,Clark,-5.9,6.8,-4.0
15283,14460,14560,13815,Clay,-5.4,0.7,-5.1
32617,33944,35535,37762,Clinton,4.1,4.7,6.3
52260,51644,53196,53873,Coles,-1.2,3.0,1.3
5253655,5105067,5376741,5194675,Cook,-2.8,5.3,-3.4
20818,19464,20452,19817,Crawford,-6.5,5.1,-3.1
11062,10670,11253,11048,Cumberland,-3.5,5.5,-1.8
74624,77932,88969,105160,DeKalb,4.4,14.2,18.2
18108,16516,16798,16561,De Witt,-8.8,1.7,-1.4
19774,19464,19922,19980,Douglas,-1.6,2.4,0.3
658835,781666,904161,916924,DuPage,18.6,15.7,1.4
21725,19595,19704,18576,Edgar,-9.8,0.6,-5.7
7961,7440,6971,6721,Edwards,-6.5,-6.3,-3.6
30944,31704,34264,34242,Effingham,2.5,8.1,-0.1
22167,20893,21802,22140,Fayette,-5.7,4.4,1.6
15265,14275,14241,14081,Ford,-6.5,-0.2,-1.1
43201,40319,39018,39561,Franklin,-6.7,-3.2,1.4
43687,38080,38250,37069,Fulton,-12.8,0.4,-3.1
7590,6909,6445,5589,Gallatin,-9.0,-6.7,-13.3
16661,15317,14761,13886,Greene,-8.1,-3.6,-5.9
30582,32337,37535,50063,Grundy,5.7,16.1,33.4
9172,8499,8621,8457,Hamilton,-7.3,1.4,-1.9
23877,21373,20121,19104,Hancock,-10.5,-5.9,-5.1
5383,5189,4800,4320,Hardin,-3.6,-7.5,-10.0
9114,8096,8213,7331,Henderson,-11.2,1.4,-10.7
57968,51159,51020,50486,Henry,-11.7,-0.3,-1.0
32976,30787,31334,29718,Iroquois,-6.6,1.8,-5.2
61522,61067,59612,60218,Jackson,-0.7,-2.4,1.0
11318,10609,10117,9698,Jasper,-6.3,-4.6,-4.1
36552,37020,40045,38827,Jefferson,1.3,8.199999999999998,-3.0
20538,20539,21668,22985,Jersey,0.0,5.5,6.1
23520,21821,22289,22678,Jo Daviess,-7.2,2.1,1.7
9624,11347,12878,12582,Johnson,17.9,13.5,-2.3
278405,317471,404119,515269,Kane,14.0,27.3,27.5
102926,96255,103833,113449,Kankakee,-6.5,7.9,9.3
37202,39413,54544,114736,Kendall,5.9,38.4,110.4
61607,56393,55836,52919,Knox,-8.5,-1.0,-5.2
440372,516418,644356,703462,Lake,17.3,24.8,9.2
112033,106913,111509,113924,La Salle,-4.6,4.3,2.2
17807,15972,15452,16833,Lawrence,-10.3,-3.3,8.9
36328,34392,36062,36031,Lee,-5.3,4.9,-0.1
41381,39301,39678,38950,Livingston,-5.0,1.0,-1.8
31802,30798,31183,30305,Logan,-3.2,1.3,-2.8
37467,35244,32913,32612,McDonough,-5.9,-6.6,-0.9
147897,183241,260077,308760,McHenry,23.9,41.9,18.7
119149,129180,150433,169572,McLean,8.4,16.5,12.7
131375,117206,114706,110768,Macon,-10.8,-2.1,-3.4
49384,47679,49019,47765,Macoupin,-3.5,2.8,-2.6
247691,249238,258941,269282,Madison,0.6,3.9,4.0
43523,41561,41691,39437,Marion,-4.5,0.3,-5.4
14479,12846,13180,12640,Marshall,-11.3,2.6,-4.1
19492,16269,16038,14666,Mason,-16.5,-1.4,-8.6
14990,14752,15161,15429,Massac,-1.6,2.8,1.8
11700,11164,12486,12705,Menard,-4.6,11.8,1.8
19286,17290,16957,16434,Mercer,-10.3,-1.9,-3.1
20117,22422,27619,32957,Monroe,11.5,23.2,19.3
31686,30728,30652,30104,Montgomery,-3.0,-0.2,-1.8
37502,36397,36616,35547,Morgan,-2.9,0.6,-2.9
14546,13930,14287,14846,Moultrie,-4.2,2.6,3.9
46338,45957,51032,53497,Ogle,-0.8,11.0,4.8
200466,182827,183433,186494,Peoria,-8.8,0.3,1.7
21714,21412,23094,22350,Perry,-1.4,7.9,-3.2
16581,15548,16365,16729,Piatt,-6.2,5.3,2.2
18896,17577,17384,16430,Pike,-7.0,-1.1,-5.5
4404,4373,4413,4470,Pope,-0.7,0.9,1.3
8840,7523,7348,6161,Pulaski,-14.9,-2.3,-16.2
6085,5730,6086,6006,Putnam,-5.8,6.2,-1.3
35652,34583,33893,33476,Randolph,-3.0,-2.0,-1.2
17587,16545,16149,16233,Richland,-5.9,-2.4,0.5
165968,148723,149374,147546,Rock Island,-10.4,0.4,-1.2
267531,262852,256082,270056,St. Clair,-1.7,-2.6,5.5
28448,26551,26733,24913,Saline,-6.7,0.7,-6.8
176089,178386,188951,197465,Sangamon,1.3,5.9,4.5
8365,7498,7189,7544,Schuyler,-10.4,-4.1,4.9
6142,5644,5537,5355,Scott,-8.1,-1.9,-3.3
23923,22261,22893,22363,Shelby,-6.9,2.8,-2.3
7389,6534,6332,5994,Stark,-11.6,-3.1,-5.3
49536,48052,48979,47711,Stephenson,-3.0,1.9,-2.6
132078,123692,128485,135394,Tazewell,-6.3,3.9,5.4
17765,17619,18293,17808,Union,-0.8,3.8,-2.7
95222,88257,83919,81625,Vermilion,-7.3,-4.9,-2.7
13713,13111,12937,11947,Wabash,-4.4,-1.3,-7.7
21943,19181,18735,17707,Warren,-12.6,-2.3,-5.5
15472,14965,15148,14716,Washington,-3.3,1.2,-2.9
18059,17241,17151,16760,Wayne,-4.5,-0.5,-2.3
17864,16522,15371,14665,White,-7.5,-7.0,-4.6
65970,60186,60653,58498,Whiteside,-8.8,0.8,-3.6
324460,357313,502266,677560,Will,10.1,40.6,34.9
56538,57733,61296,66357,Williamson,2.1,6.2,8.3
250884,252913,278418,295266,Winnebago,0.8,10.1,6.1
33320,32653,35469,38664,Woodford,-2.0,8.6,9.0
